Category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3W,0,0,0,0,0,0,0,0,3,22
3W,0,0,0,17,123,99,26,7,109,357
3W,0,1,1,0,0,0,0,0,0,0
3W,0,0,5,0,0,0,0,0,0,0
3W,0,311,536,928,687,263,213,394,874,394
3W,0,0,0,0,0,6,9,11,0,93
3W,0,2,2,0,0,0,0,0,0,0
3W,0,492,1744,3005,4215,2741,6672,13091,14877,6654
4W,0,0,0,0,0,0,2,0,0,0
3W,0,0,0,0,0,0,0,0,0,37
2W,0,0,0,0,0,0,133,426,501,106
3W,0,3,8,0,0,0,0,0,0,0
3W,0,0,0,0,84,56,22,6,6,0
3W,0,0,1,0,0,0,0,0,0,0
4W,0,0,1,1,0,0,0,0,0,0
3W,0,0,0,17,121,86,118,406,571,380
3W,0,46,160,195,80,48,62,223,290,190
2W,0,0,0,0,0,0,0,0,4851,4
3W,0,6,0,0,0,0,0,0,0,0
2W,0,0,0,0,0,0,0,0,135,154
2W,0,0,0,0,0,0,0,0,0,10
3W,0,0,0,19,4,0,0,0,0,0
2W,0,0,0,0,0,0,0,0,0,1
2W,0,3,0,0,0,0,0,0,0,0
3W,0,0,0,0,24,26,28,36,28,8
3W,0,0,132,395,429,292,586,827,930,301
3W,0,0,0,1,0,0,0,0,0,0
3W,0,0,0,0,0,0,0,0,0,1
3W,4,157,158,37,11,5,0,0,0,0
4W,0,0,0,1,0,0,0,0,0,0
4W,0,1,1,0,0,0,0,0,0,0
3W,0,0,57,1,1,11,92,571,2749,425
4W,0,0,0,0,0,0,0,2,0,0
3W,0,0,60,7,21,0,0,0,0,0
3W,0,0,0,0,2,14,7,24,96,37
3W,0,0,0,0,11,29,31,46,32,2
3W,0,0,3,0,0,0,0,0,0,0
3W,0,0,0,0,0,0,0,0,0,5
3W,0,0,2,0,0,0,0,0,0,0
4W,0,0,0,0,0,2,0,0,0,0
3W,0,1,1,0,0,0,0,0,0,0
3W,0,0,0,0,0,30,1125,3225,5925,2871
3W,0,0,0,1,0,0,0,0,0,0
2W,0,0,0,0,0,0,0,102,283,72
3W,0,1,3,0,0,0,0,0,0,0
3W,0,0,0,75,149,40,55,83,122,73
3W,0,0,567,854,1031,387,285,243,311,120
3W,0,136,274,397,222,62,8,13,2,0
3W,0,0,0,0,119,114,345,720,1563,1048
3W,0,0,4,46,12,3,3,4,12,14
3W,0,0,0,0,1,0,0,0,0,0
3W,0,0,1,0,0,0,0,0,0,0
3W,0,0,12,330,896,1100,755,1334,2466,1246
3W,0,0,0,192,106,5,0,0,8,21
3W,0,0,0,0,0,16,30,1,0,0
3W,0,0,0,0,0,0,0,0,0,287
3W,1,7,3,0,0,0,0,0,0,0
3W,0,0,0,4,0,0,0,0,12,83
3W,0,0,0,0,0,0,0,0,29,26
3W,0,0,0,0,163,140,141,104,34,14
4W,1,0,0,0,0,0,0,0,0,0
3W,0,0,0,0,0,0,0,0,0,81
3W,0,0,0,10,2,0,26,303,604,234
4W,0,0,0,1,0,0,0,0,0,0
3W,0,0,0,0,0,0,0,0,0,1
3W,0,1,0,0,0,1,0,0,0,0
2W,0,0,0,0,0,0,0,2,0,0
3W,16,1573,2205,3404,3954,2541,5361,13987,25071,11832
4W,0,2,1,7,2,0,1,2,5,0
3W,0,14,129,18,10,3,2,0,0,0
3W,0,3,50,213,96,27,33,142,145,43
3W,0,0,0,0,45,3,0,0,0,0
3W,0,0,3,126,355,169,416,744,1026,403
MMV,1,0,0,0,0,0,0,0,0,0
3W,0,0,0,10,6,1,2,0,0,0
2W,0,0,0,0,0,0,0,0,11,1
3W,0,0,0,0,0,0,0,0,0,23
3W,0,0,5,22,72,132,17,14,26,1
2W,1,2,0,0,0,0,0,0,0,0
3W,0,0,0,0,0,0,0,0,3,27
3W,0,0,0,1,0,0,0,0,0,0
3W,0,0,4,1,0,0,0,0,0,0
3W,0,0,0,55,271,259,428,610,934,444
3W,0,0,0,0,11,9,0,0,0,0
3W,0,0,0,1,7,17,0,0,0,0
2W,0,0,0,0,0,0,0,0,2,0
3W,0,0,0,142,48,2,11,11,0,1
3W,0,27,777,473,1150,243,121,421,751,495
3W,1,4,130,2,0,1,0,0,0,0
2W,0,0,0,0,0,0,0,0,5,0
3W,0,0,0,0,0,0,448,1381,1296,479
3W,0,0,0,0,0,1,0,0,0,0
2W,0,0,0,0,0,0,0,0,0,1
3W,0,0,0,0,3,23,74,129,240,86
3W,0,0,0,0,0,0,0,1,17,16
3W,0,0,0,0,0,0,19,47,74,55
2W,0,0,0,0,0,20,280,728,595,127
3W,0,0,0,115,58,14,154,453,1245,816
2W,0,0,0,0,0,0,0,0,0,44
3W,0,0,18,61,147,53,9,29,1,165
3W,0,0,0,0,7,8,8,4,7,0
3W,0,0,0,0,2,0,0,0,0,0
3W,0,1,4,0,0,0,0,0,0,0
3W,0,0,0,0,16,29,36,49,89,20
3W,0,0,0,11,13,5,14,20,1,0
3W,0,0,0,0,0,0,0,82,526,170
3W,0,0,0,0,0,0,0,12,125,202
3W,0,0,1,0,0,0,0,0,0,0
4W,0,3,0,0,0,0,0,0,0,0
2W,0,0,0,0,1,0,0,0,0,0
4W,4,2,4,0,0,0,0,0,0,0
2W,10,0,8,0,0,0,0,0,0,0
3W,0,1,0,0,0,0,0,0,0,0
3W,0,0,39,58,23,19,0,0,7,8
2W,0,0,0,0,2,9,40,93,72,40
3W,0,0,0,4,181,29,9,0,0,0
2W,0,0,0,0,0,0,0,0,43,2
3W,0,0,0,0,0,0,0,0,1,0
2W,178,136,26,4,0,0,0,0,0,0
3W,44,763,919,147,10,0,0,0,0,0
4W,0,1,11,1,0,0,0,0,0,0
2W,0,0,15,48,2,0,0,0,0,0
3W,1,282,627,1184,270,60,35,5,4,0
4W,0,0,0,1,0,0,0,0,0,0
3W,0,0,0,0,53,33,18,49,11,8
3W,0,0,2,0,0,0,0,0,0,0
3W,0,55,50,85,16,75,229,509,1200,934
2W,0,0,0,0,0,0,402,735,230,82
2W,0,0,0,0,0,0,3,0,0,0
3W,0,0,6,61,11,10,108,367,470,259
3W,0,361,1928,2606,2407,1324,3070,6263,11080,6782
3W,0,0,0,0,0,4,1,0,188,184
2W,0,0,0,0,0,0,0,141,472,237
2W,0,0,0,0,0,0,0,0,2,13
3W,0,177,200,128,101,131,148,188,587,599
3W,0,4,185,181,160,55,62,43,31,6
3W,0,0,0,0,0,0,0,0,55,48
4W,0,0,0,0,0,0,0,0,1,1
3W,0,1,0,0,0,0,0,0,0,0
4W,0,4,0,2,0,0,0,0,0,0
3W,0,1,0,0,0,0,0,0,0,0
4W,0,1,0,0,0,0,1,1,5,0
2W,0,0,0,0,0,0,0,0,116,331
2W,0,0,0,0,0,0,0,0,0,1
3W,0,0,0,1,0,0,0,0,0,0
3W,0,0,0,0,0,0,75,179,80,6
4W,0,0,0,0,0,0,0,1,4,0
3W,0,0,0,49,143,63,119,647,2595,2104
4W,0,0,0,0,0,0,0,7,3,2
4W,0,0,0,0,0,0,0,3,44,60
3W,0,0,0,0,0,0,0,15,31,18
3W,0,0,0,0,0,0,0,57,14,327
3W,0,0,0,0,0,0,0,0,1,0
3W,0,0,0,1,67,66,134,298,166,36
3W,0,0,0,10,3,1,5,2,0,2
2W,0,0,0,0,0,0,0,162,540,123
2W,0,0,0,0,0,0,0,127,83,13
3W,0,0,0,0,1,274,519,1056,2379,1318
3W,0,1,0,1,0,0,0,0,0,0
3W,0,0,0,0,0,56,214,401,614,470
3W,0,0,0,3,4,6,0,0,0,0
3W,0,0,49,200,111,12,15,177,218,90
3W,0,0,0,0,0,0,0,0,0,10
3W,0,0,0,0,0,0,0,395,900,496
2W,0,0,0,0,0,0,0,5,106,58
3W,0,0,0,0,0,0,0,268,546,281
3W,0,0,0,0,0,0,1,31,17,2
3W,0,6,48,30,15,6,1,23,119,83
4W,0,1,0,0,0,0,0,0,0,0
3W,0,0,0,1,0,0,0,0,0,0
4W,1,0,0,1,0,0,0,0,0,0
3W,0,0,0,0,0,0,0,0,0,6
2W,0,0,0,0,0,0,0,0,57,21
2W,0,0,0,0,0,0,0,0,0,2
2W,0,0,0,0,0,0,0,0,16,4
3W,0,0,47,457,688,318,447,699,1430,648
4W,0,0,0,1,0,0,0,0,0,0
3W,0,0,0,44,68,5,1,2,0,0
3W,0,0,0,0,0,0,0,9,3,22
3W,0,0,0,0,0,0,0,0,74,479
3W,0,0,816,1626,2257,2405,2491,4151,5514,2850
4W,0,0,1,0,0,0,0,0,0,0
3W,0,0,0,0,0,0,0,0,383,508
4W,0,0,0,0,0,0,0,0,1,0
3W,0,0,0,0,0,0,0,0,188,19
4W,1,0,0,0,0,0,0,0,0,0
3W,0,0,8,0,0,0,0,0,0,0
2W,0,0,0,0,0,0,0,0,0,163
3W,0,0,0,0,15,7,6,10,1,0
3W,0,0,0,0,10,28,63,0,0,0
3W,0,0,6,117,195,81,428,2048,2950,1053
3W,1,1,3,0,0,0,0,0,0,0
3W,0,0,0,0,9,1,0,0,0,0
2W,3,1,0,0,0,0,0,0,0,0
3W,0,0,1,0,0,0,0,0,0,0
4W,1,0,0,0,0,0,0,0,0,0
3W,0,0,0,0,1,6,4,0,0,0
3W,0,0,0,4,0,0,0,0,0,0
3W,0,0,0,0,0,0,0,0,1,0
3W,0,1,0,0,0,0,0,0,0,0
3W,0,0,207,565,472,238,392,864,711,277
4W,0,0,0,0,1,0,0,0,0,0
2W,0,0,0,0,0,0,9,7,11,0
3W,0,0,0,0,7,0,0,12,5,10
2W,0,0,0,0,0,0,0,0,128,184
3W,0,0,0,0,0,0,0,0,145,155
3W,0,0,0,1,93,48,55,86,74,32
4W,15,6,15,1,0,0,1,0,2,0
3W,35,195,55,9,0,0,0,0,0,0
4W,0,1,2,15,0,0,0,0,0,0
3W,0,73,348,506,693,787,743,644,462,36
4W,0,0,0,1,0,0,0,0,0,0
2W,0,0,0,0,0,0,0,0,71,0
2W,0,0,0,0,0,0,0,0,18,115
3W,0,0,0,0,0,0,0,0,1,0
2W,0,0,0,0,0,0,0,0,1,1
3W,1,19,36,2,3,0,0,0,0,0
3W,0,15,21,3,0,1,0,0,0,0
3W,0,97,86,5,0,0,0,0,0,0
3W,0,0,3,59,53,19,10,25,0,0
3W,0,0,1,0,0,0,0,0,0,0
3W,0,0,0,277,262,292,518,1054,1494,939
2W,0,0,0,0,1,94,1409,5343,3040,952
3W,0,0,0,0,51,0,21,65,136,11
3W,0,0,0,241,1628,1476,1546,2154,3411,2043
4W,0,2,0,0,0,0,0,0,0,0
3W,0,0,1,0,0,0,0,0,0,0
2W,0,0,0,0,0,0,0,410,24045,18424
3W,0,0,9,0,0,0,0,0,0,0
3W,0,0,0,0,0,0,0,69,42,172
3W,1,627,650,246,182,25,3,175,442,169
3W,0,78,175,10,4,6,3,1,0,0
3W,0,37,146,140,146,27,14,5,0,0
3W,0,0,0,0,18,14,39,36,28,27
3W,0,0,0,8,0,0,24,15,345,176
4W,0,0,0,1,0,0,0,0,0,0
3W,0,0,0,0,0,0,0,0,46,22
3W,0,0,178,570,543,100,129,43,221,198
3W,0,0,47,220,89,38,13,14,11,4
4W,0,0,0,1,0,0,0,0,0,0
3W,0,0,1,0,0,1,1,0,3,1
3W,0,0,31,131,15,3,0,0,0,0
3W,0,0,0,10,2,0,0,0,0,0
3W,0,0,1,0,0,0,0,0,116,0
3W,0,0,0,0,0,0,0,0,4,168
3W,0,0,0,8,19,36,6,6,1,7
3W,0,61,170,98,201,129,505,905,872,424
3W,0,0,0,0,4,29,4,0,0,0
3W,0,0,0,0,0,0,0,0,3,2
2W,0,0,0,0,0,0,0,0,0,4
3W,0,1,0,0,0,0,0,0,0,0
3W,0,1,8,1,0,0,0,0,0,0
3W,0,1,8,2,0,0,0,0,0,0
3W,0,0,0,0,0,21,118,117,64,0
3W,0,0,127,251,383,79,53,57,37,1
3W,0,0,16,0,0,0,0,0,0,0
3W,0,0,1,0,0,0,0,0,0,0
3W,0,0,0,1,9,0,0,0,0,0
2W,0,3,2,0,0,0,0,0,0,0
3W,0,0,0,77,105,3,2,12,11,0
3W,0,0,0,0,0,0,0,0,0,60
2W,0,1,0,0,0,0,0,0,0,0
3W,0,0,0,0,0,0,0,0,8,68
3W,0,0,1,0,0,0,0,0,0,0
3W,0,0,67,297,231,73,75,45,34,36
3W,0,0,0,0,0,0,0,0,2,4
2W,0,0,0,0,0,0,0,0,4,0
3W,0,0,0,0,0,0,0,0,8,16
3W,0,0,4,0,0,0,0,0,0,0
3W,0,0,145,16,0,0,0,0,0,0
